Symbol: DVP, Buy Price: 76.4, Stop Loss: 74, Date: 2024-05-06 00:00:00
Symbol: GSP, Buy Price: 12.6, Stop Loss: 12, Date: 2024-05-07 00:00:00
Symbol: NCT, Buy Price: 90.9, Stop Loss: 89, Date: 2024-05-06 00:00:00
Symbol: PVT, Buy Price: 25.6, Stop Loss: 24.98, Date: 2024-05-07 16:05:38
Symbol: PVP, Buy Price: 15.8, Stop Loss: 15, Date: 2024-05-06 00:00:00
Symbol: SGN, Buy Price: 74.5, Stop Loss: 73, Date: 2024-05-07 00:00:00
Symbol: VIP, Buy Price: 11.45, Stop Loss: 11, Date: 2024-05-06 00:00:00
Symbol: VOS, Buy Price: 11.1, Stop Loss: 11, Date: 2024-05-06 00:00:00
Symbol: VTO, Buy Price: 11.7, Stop Loss: 5, Date: 2024-05-06 00:00:00
Symbol: ABR, Buy Price: 13.9, Stop Loss: 14.24, Date: 2024-05-07 16:05:38
Symbol: REE, Buy Price: 64.2, Stop Loss: 63.6, Date: 2024-05-07 16:05:39
